time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity
2.700000000000002,0.0,0.0,63.0676930141,0.0,0.0,0.0,0.0,0.0,28.1397772938,0.0,0.0,0.0
2.760000000000002,0.0,0.0,64.7561491736,0.0,0.0,0.0,0.0,0.0,28.1420378071,0.0,0.0,0.0
2.820000000000002,0.0,0.0,66.444753285,0.0,0.0,0.0,0.0,0.0,28.1446989378,0.0,0.0,0.0
2.880000000000002,0.0,0.0,68.133530309,0.0,0.0,0.0,0.0,0.0,28.1477907135,0.0,0.0,0.0
2.940000000000002,0.0,0.0,69.8224771365,0.0,0.0,0.0,0.0,0.0,28.1503718992,0.0,0.0,0.0
3.000000000000002,0.0,0.0,71.511557627,0.0,0.0,0.0,0.0,0.0,28.1522635005,0.0,0.0,0.0
3.0600000000000023,0.0,0.0,73.2008061316,0.0,0.0,0.0,0.0,0.0,28.1559277355,0.0,0.0,0.0
3.1200000000000023,0.0,0.0,74.8902308431,0.0,0.0,0.0,0.0,0.0,28.1581727897,0.0,0.0,0.0
3.1800000000000024,0.0,0.0,76.579776334,0.0,0.0,0.0,0.0,0.0,28.1599651091,0.0,0.0,0.0
3.2400000000000024,0.0,0.0,78.2694269136,0.0,0.0,0.0,0.0,0.0,28.1616777502,0.0,0.0,0.0
3.3000000000000025,0.0,0.0,79.9591671593,0.0,0.0,0.0,0.0,0.0,28.1629646944,0.0,0.0,0.0
3.3600000000000025,0.0,0.0,81.6489645805,0.0,0.0,0.0,0.0,0.0,28.1636000139,0.0,0.0,0.0
3.4200000000000026,0.0,0.0,83.3388398419,0.0,0.0,0.0,0.0,0.0,28.1655268379,0.0,0.0,0.0
3.4800000000000026,0.0,0.0,85.0288488861,0.0,0.0,0.0,0.0,0.0,28.1680445555,0.0,0.0,0.0
3.5400000000000027,0.0,0.0,86.7189528664,0.0,0.0,0.0,0.0,0.0,28.1687373372,0.0,0.0,0.0
3.6000000000000028,0.0,0.0,88.4090350786,0.0,0.0,0.0,0.0,0.0,28.1673708241,0.0,0.0,0.0
3.660000000000003,0.0,0.0,90.0990377173,0.0,0.0,0.0,0.0,0.0,28.1660829062,0.0,0.0,0.0
3.720000000000003,0.0,0.0,91.7889868371,0.0,0.0,0.0,0.0,0.0,28.165567402,0.0,0.0,0.0
3.780000000000003,0.0,0.0,93.4789214728,0.0,0.0,0.0,0.0,0.0,28.1655866392,0.0,0.0,0.0
3.840000000000003,0.0,0.0,95.1688120137,0.0,0.0,0.0,0.0,0.0,28.1641346262,0.0,0.0,0.0
3.900000000000003,0.0,0.0,96.8586275242,0.0,0.0,0.0,0.0,0.0,28.163075725,0.0,0.0,0.0
3.960000000000003,0.0,0.0,98.5484776953,0.0,0.0,0.0,0.0,0.0,28.1652095728,0.0,0.0,0.0
4.020000000000002,0.0,0.0,100.238423679,0.0,0.0,0.0,0.0,0.0,28.1662958403,0.0,0.0,0.0
4.080000000000001,0.0,0.0,101.92845738,0.0,0.0,0.0,0.0,0.0,28.1681150469,0.0,0.0,0.0
4.14,0.0,0.0,103.618613256,0.0,0.0,0.0,0.0,0.0,28.1703576768,0.0,0.0,0.0
4.199999999999998,0.0,0.0,105.308958035,0.0,0.0,0.0,0.0,0.0,28.1743672828,0.0,0.0,0.0
4.259999999999997,0.0,0.0,106.999525332,0.0,0.0,0.0,0.0,0.0,28.1777897231,0.0,0.0,0.0
4.319999999999996,0.0,0.0,108.690249135,0.0,0.0,0.0,0.0,0.0,28.1796241444,0.0,0.0,0.0
4.379999999999995,0.0,0.0,110.381077593,0.0,0.0,0.0,0.0,0.0,28.1812826505,0.0,0.0,0.0
4.439999999999993,0.0,0.0,112.071970269,0.0,0.0,0.0,0.0,0.0,28.1817936896,0.0,0.0,0.0
4.499999999999992,0.0,0.0,113.762864222,0.0,0.0,0.0,0.0,0.0,28.1813492694,0.0,0.0,0.0
4.559999999999991,0.0,0.0,115.453765721,0.0,0.0,0.0,0.0,0.0,28.1820172081,0.0,0.0,0.0
4.6199999999999894,0.0,0.0,117.144651423,0.0,0.0,0.0,0.0,0.0,28.1808684736,0.0,0.0,0.0
4.679999999999988,0.0,0.0,118.835456599,0.0,0.0,0.0,0.0,0.0,28.1793425163,0.0,0.0,0.0
4.739999999999987,0.0,0.0,120.526254491,0.0,0.0,0.0,0.0,0.0,28.1805566026,0.0,0.0,0.0
4.799999999999986,0.0,0.0,122.217091108,0.0,0.0,0.0,0.0,0.0,28.1806613276,0.0,0.0,0.0
4.859999999999984,0.0,0.0,123.907922832,0.0,0.0,0.0,0.0,0.0,28.1804026476,0.0,0.0,0.0
4.919999999999983,0.0,0.0,125.598795584,0.0,0.0,0.0,0.0,0.0,28.1819826185,0.0,0.0,0.0
4.979999999999982,0.0,0.0,127.289763387,0.0,0.0,0.0,0.0,0.0,28.1835707773,0.0,0.0,0.0
5.0399999999999805,0.0,0.0,128.98087191,0.0,0.0,0.0,0.0,0.0,28.1866360834,0.0,0.0,0.0
